id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date,price,mile_dist_center,age_at_sale,renovation_status,yrs_since_renovation,price_per_sqft,location_type,view_cat,condition_cat,grade_cat
7129300520,3,1.0,1180,5650,1.0,,0.0,3,7,1180,0,1955,,98178,47.5112,-122.257,1340,5650,2014-10-13,221900,7.4436640735582,59,unrenovated,,188.05084745762713,city,No View,Average,Average
6414100192,3,2.25,2570,7242,2.0,no,0.0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,2014-12-09,538000,7.954648164680314,63,renovated,23,209.3385214007782,city,No View,Average,Average
5631500400,2,1.0,770,10000,1.0,no,0.0,3,6,770,0,1933,,98028,47.7379,-122.233,2720,8062,2015-02-25,180000,10.206393754050355,82,unrenovated,,233.76623376623377,countryside,No View,Average,Fair
2487200875,4,3.0,1960,5000,1.0,no,0.0,5,7,1050,910,1965,,98136,47.5208,-122.393,1360,5000,2014-12-09,604000,6.5511650749096475,49,unrenovated,,308.16326530612247,city,No View,Excellent,Average
1954400510,3,2.0,1680,8080,1.0,no,0.0,3,8,1680,0,1987,,98074,47.6168,-122.045,1800,7503,2015-02-18,510000,13.432452098532421,28,unrenovated,,303.57142857142856,countryside,No View,Average,Good
7237550310,4,4.5,5420,101930,1.0,no,0.0,3,11,3890,1530,2001,,98053,47.6561,-122.005,4760,101930,2014-05-12,1230000,15.659605222294719,13,unrenovated,,226.93726937269372,countryside,No View,Average,Outstanding
1321400060,3,2.25,1715,6819,2.0,no,0.0,3,7,1715,,1995,,98003,47.3097,-122.327,2238,6819,2014-06-27,257500,20.484771798266344,19,unrenovated,,150.14577259475217,countryside,No View,Average,Average
2008000270,3,1.5,1060,9711,1.0,no,,3,7,1060,0,1963,,98198,47.4095,-122.315,1650,9711,2015-01-15,291850,13.612477081302313,52,unrenovated,,275.3301886792453,countryside,,Average,Average
2414600126,3,1.0,1780,7470,1.0,no,0.0,3,7,1050,730,1960,,98146,47.5123,-122.337,1780,8113,2015-04-15,229500,6.491139601147177,55,unrenovated,,128.93258426966293,city,No View,Average,Average
3793500160,3,2.5,1890,6560,2.0,no,0.0,3,7,1890,0,2003,,98038,47.3684,-122.031,2390,7570,2015-03-12,323000,21.649240358846807,12,unrenovated,,170.8994708994709,countryside,No View,Average,Average
1736800520,3,2.5,3560,9796,1.0,,0.0,3,8,1860,1700,1965,,98007,47.6007,-122.145,2210,8925,2015-04-03,662500,8.750364601473255,50,unrenovated,,186.09550561797752,countryside,No View,Average,Good
9212900260,2,1.0,1160,6000,1.0,no,0.0,4,7,860,300,1942,,98115,47.69,-122.292,1330,6000,2014-05-27,468000,6.08457032339495,72,unrenovated,,403.44827586206895,city,No View,Good,Average
114101516,3,1.0,1430,19901,1.5,no,0.0,4,7,1430,0,1927,,98028,47.7558,-122.229,1780,12697,2014-05-28,310000,11.399871062811451,87,unrenovated,,216.78321678321677,countryside,No View,Good,Average
6054650070,3,1.75,1370,9680,1.0,no,0.0,4,7,1370,0,1977,,98074,47.6127,-122.045,1370,10208,2014-10-07,400000,13.420514411976372,37,unrenovated,,291.97080291970804,countryside,No View,Good,Average
1175000570,5,2.0,1810,4850,1.5,no,0.0,3,7,1810,0,1900,,98107,47.67,-122.394,1360,4850,2015-03-12,530000,5.270835965927743,115,unrenovated,,292.81767955801104,city,No View,Average,Average
9297300055,4,3.0,2950,5000,2.0,no,3.0,3,9,1980,970,1979,,98126,47.5714,-122.375,2140,4000,2015-01-24,650000,3.1305282688227236,36,unrenovated,,220.33898305084745,city,Good View,Average,Very Good
1875500060,3,2.0,1890,14040,2.0,no,0.0,3,7,1890,0,1994,,98019,47.7277,-121.962,1890,14018,2014-07-31,395000,19.203396963772178,20,unrenovated,,208.994708994709,countryside,No View,Average,Average
6865200140,4,1.0,1600,4300,1.5,no,0.0,4,7,1600,0,1916,,98103,47.6648,-122.343,1610,4300,2014-05-29,485000,4.080312903937765,98,unrenovated,,303.125,city,No View,Good,Average
16000397,2,1.0,1200,9850,1.0,no,0.0,4,7,1200,,1921,,98002,47.3089,-122.21,1060,5095,2014-12-05,189000,21.32050660908695,93,unrenovated,,157.5,countryside,No View,Good,Average
7983200060,3,1.0,1250,9774,1.0,no,0.0,4,7,1250,0,1969,,98003,47.3343,-122.306,1280,8850,2015-04-24,230000,18.823699808663637,46,unrenovated,,184.0,countryside,No View,Good,Average
6300500875,4,1.75,1620,4980,1.0,no,0.0,4,7,860,760,1947,,98133,47.7025,-122.341,1400,4980,2014-05-14,385000,6.665967438133927,67,unrenovated,,237.65432098765433,city,No View,Good,Average
2524049179,3,2.75,3050,44867,1.0,no,4.0,3,9,2330,720,1968,,98040,47.5316,-122.233,4110,20336,2014-08-26,2000000,6.930356503740664,46,unrenovated,,655.7377049180328,countryside,Excellent View,Average,Very Good
7137970340,5,2.5,2270,6300,2.0,no,0.0,3,8,2270,0,1995,,98092,47.3266,-122.169,2240,7005,2014-07-03,285000,20.772143947839034,19,unrenovated,,125.55066079295155,countryside,No View,Average,Good
8091400200,2,1.5,1070,9643,1.0,,0.0,3,7,1070,0,1985,,98030,47.3533,-122.166,1220,8386,2014-05-16,252700,19.124971306908243,29,unrenovated,,236.16822429906543,countryside,No View,Average,Average
3814700200,3,2.25,2450,6500,2.0,no,0.0,4,8,2450,0,1985,,98030,47.3739,-122.17298,2200,6865,2014-11-20,329000,17.69354972164619,29,unrenovated,,134.28571428571428,countryside,No View,Good,Good
1202000200,3,2.0,1710,4697,1.5,no,0.0,5,6,1710,0,1941,,98002,47.3048,-122.218,1030,4705,2014-11-03,233000,21.497274906458234,73,unrenovated,,136.25730994152048,countryside,No View,Excellent,Fair
1794500383,3,1.75,2450,2691,2.0,no,0.0,3,8,1750,700,1915,,98119,47.6386,-122.36,1760,3573,2014-06-26,937000,2.5900817337923123,99,unrenovated,,382.44897959183675,city,No View,Average,Good
3303700376,3,1.0,1400,1581,1.5,no,0.0,5,8,1400,0,1909,,98112,47.6221,-122.314,1860,3861,2014-12-01,667000,1.386202132513658,105,unrenovated,,476.42857142857144,city,No View,Excellent,Good
5101402488,3,1.75,1520,6380,1.0,no,0.0,3,7,790,730,1948,,98115,47.695,-122.304,1520,6235,2014-06-24,438000,6.27353376615113,66,unrenovated,,288.1578947368421,city,No View,Average,Average
